Task,Category,Priority
Read coding challenge 59,Study,Medium
Submit university library books 111,Study,High
Research client proposal 925,Work,Medium
Research machine learning tutorial 997,Study,Medium
Take notes for history essay 742,Study,Medium
Attend chemistry lab report 449,Study,Medium
Research psychology notes 374,Study,Medium
Research server maintenance 492,Work,Medium
Analyze budget sheet 857,Work,Medium
Water healthy dinner 614,Personal,Medium
Complete thesis introduction 799,Study,Medium
Watch football with friends 81,Personal,Low
Study math assignment 221,Study,Medium
Water dancing class 463,Personal,Low
Organize sprint plan 473,Work,Medium
Cook weekend trip 772,Personal,Low
Attend online course 563,Study,Medium
Update office workstation 325,Work,Medium
Water healthy dinner 636,Personal,Medium
Coordinate budget sheet 280,Work,Medium
Email team meeting 430,Work,High
Organize marketing strategy 740,Work,Medium
Update sprint plan 1,Work,Medium
Submit project report 156,Work,High
Develop business lead 52,Work,Medium
Attend machine learning tutorial 395,Study,Medium
Draft bug in production 688,Work,High
Schedule server maintenance 646,Work,Medium
Fix business lead 693,Work,Medium
Practice online course 343,Study,Medium
Buy dancing class 474,Personal,Low
Visit healthy dinner 486,Personal,Medium
Wash dentist appointment 736,Personal,Medium
Draft server maintenance 463,Work,Medium
Wash weekly groceries 512,Personal,Medium
Watch geography project 661,Study,Low
Memorize psychology notes 4,Study,Medium
Revise physics numericals 794,Study,Medium
Revise geography project 496,Study,Medium
Take notes for psychology notes 69,Study,Medium
Complete coding challenge 638,Study,Medium
Present team meeting 633,Work,High
Develop business lead 366,Work,Medium
Coordinate server maintenance 24,Work,Medium
Schedule quarterly sales data 549,Work,Medium
Attend car 118,Personal,Medium
Develop office workstation 391,Work,Medium
Study math assignment 954,Study,Medium
Read final exam 601,Study,High
Schedule marketing strategy 406,Work,Medium
Develop quarterly sales data 791,Work,Medium
Watch favorite podcast 900,Personal,Low
Plan Netflix movie 764,Personal,Low
Email business lead 862,Work,Medium
Prepare machine learning tutorial 215,Study,Medium
Wash living room 811,Personal,Medium
Exercise wardrobe 532,Personal,Medium
Complete sprint plan 916,Work,Medium
Read psychology notes 154,Study,Medium
Take notes for online course 964,Study,Medium
Complete physics numericals 854,Study,Medium
Review budget sheet 800,Work,Medium
Fix budget sheet 315,Work,Medium
Study biology chapter 989,Study,Medium
Pay dancing class 363,Personal,Low
Research marketing strategy 465,Work,Medium
Research machine learning tutorial 686,Study,Medium
Wash favorite podcast 824,Personal,Low
Write physics numericals 519,Study,Medium
Read psychology notes 423,Study,Medium
Buy football with friends 891,Personal,Low
Wash car 462,Personal,Medium
Research chemistry lab report 666,Study,Medium
Research psychology notes 602,Study,Medium
Complete software feature 336,Work,Medium
Go to electricity bill 789,Personal,High
Attend weekly groceries 940,Personal,Medium
Practice chemistry lab report 893,Study,Medium
Read geography project 248,Study,Medium
Call marketing strategy 74,Work,Medium
Study thesis introduction 364,Study,Medium
Wash healthy dinner 41,Personal,Medium
Complete software feature 975,Work,Medium
Research quarterly sales data 752,Work,Medium
Listen to healthy dinner 95,Personal,Medium
Go to dancing class 579,Personal,Low
Solve psychology notes 778,Study,Medium
Call code documentation 869,Work,Medium
Watch coding challenge 534,Study,Low
Watch online course 398,Study,Low
Write biology chapter 191,Study,Medium
Watch history essay 651,Study,Low
Memorize university library books 611,Study,Medium
Write geography project 203,Study,Medium
Plan weekly groceries 364,Personal,Medium
Schedule code documentation 307,Work,Medium
Study English vocabulary 926,Study,Medium
Coordinate project report 322,Work,Medium
Memorize geography project 690,Study,Medium
Visit dentist appointment 461,Personal,Medium
Attend coding challenge 309,Study,Medium
Call office workstation 367,Work,Medium
Write psychology notes 907,Study,Medium
Write English vocabulary 661,Study,Medium
Draft code documentation 186,Work,Medium
Submit biology chapter 293,Study,High
Fix contract for freelancer 791,Work,Medium
Schedule quarterly sales data 718,Work,Medium
Listen to weekend trip 549,Personal,Low
Watch geography project 810,Study,Low
Develop marketing strategy 735,Work,Medium
Listen to living room 869,Personal,Medium
Prepare thesis introduction 506,Study,Medium
Organize weekly groceries 779,Personal,Medium
Watch final exam 174,Study,High
Email sprint plan 657,Work,Medium
Solve history essay 325,Study,Medium
Research university library books 260,Study,Medium
Solve machine learning tutorial 187,Study,Medium
Submit chemistry lab report 767,Study,High
Watch healthy dinner 608,Personal,Low
Go to dancing class 850,Personal,Low
Memorize thesis introduction 875,Study,Medium
Solve math assignment 232,Study,Medium
Take notes for history essay 146,Study,Medium
Complete business lead 972,Work,Medium
Attend contract for freelancer 181,Work,Medium
Wash gym workout 492,Personal,Medium
Research budget sheet 1,Work,Medium
Draft project report 310,Work,Medium
Submit coding challenge 683,Study,High
Coordinate contract for freelancer 162,Work,Medium
Water car 547,Personal,Medium
Watch psychology notes 584,Study,Low
Organize dentist appointment 590,Personal,Medium
Revise geography project 731,Study,Medium
Plan dentist appointment 655,Personal,Medium
Submit code documentation 916,Work,High
Fix team meeting 993,Work,High
Research business lead 576,Work,Medium
Play weekly groceries 794,Personal,Medium
Write math assignment 540,Study,Medium
Play football with friends 490,Personal,Low
Water dancing class 59,Personal,Low
Draft bug in production 277,Work,High
Go to gym workout 220,Personal,Medium
Research thesis introduction 29,Study,Medium
Play garden plants 265,Personal,Medium
Buy weekly groceries 619,Personal,Medium
Write final exam 104,Study,High
Draft server maintenance 232,Work,Medium
Develop client proposal 217,Work,Medium
Write biology chapter 569,Study,Medium
Review business lead 592,Work,Medium
Memorize English vocabulary 265,Study,Medium
Water yoga session 818,Personal,Medium
Read history essay 429,Study,Medium
Complete physics numericals 882,Study,Medium
Present client proposal 946,Work,Medium
Take notes for final exam 364,Study,High
Memorize coding challenge 54,Study,Medium
Take notes for biology chapter 399,Study,Medium
Present budget sheet 174,Work,Medium
Exercise yoga session 196,Personal,Medium
Prepare physics numericals 79,Study,Medium
Update business lead 701,Work,Medium
Write chemistry lab report 645,Study,Medium
Coordinate sprint plan 604,Work,Medium
Clean living room 358,Personal,Low
Watch car 92,Personal,Low
Analyze server maintenance 234,Work,Medium
Submit office workstation 420,Work,High
Prepare thesis introduction 883,Study,Medium
Research quarterly sales data 356,Work,Medium
Revise history essay 770,Study,Medium
Revise math assignment 795,Study,Medium
Plan weekly groceries 108,Personal,Medium
Submit biology chapter 49,Study,High
Develop bug in production 107,Work,High
Solve history essay 107,Study,Medium
Complete history essay 12,Study,Medium
Fix server maintenance 100,Work,Medium
Fix server maintenance 682,Work,Medium
Submit final exam 932,Study,High
Fix client proposal 543,Work,Medium
Coordinate server maintenance 410,Work,Medium
Take notes for coding challenge 178,Study,Medium
Schedule server maintenance 810,Work,Medium
Watch physics numericals 84,Study,Low
Research team meeting 307,Work,High
Wash Netflix movie 283,Personal,Low
Attend machine learning tutorial 106,Study,Medium
Research history essay 53,Study,Medium
Practice thesis introduction 17,Study,Medium
Buy weekly groceries 975,Personal,Medium
Complete code documentation 814,Work,Medium
Take notes for university library books 467,Study,Medium
Complete machine learning tutorial 980,Study,Medium
Fix client proposal 402,Work,Medium
Revise chemistry lab report 42,Study,Medium
Watch biology chapter 345,Study,Low
Solve machine learning tutorial 70,Study,Medium
Analyze sprint plan 767,Work,Medium
Write machine learning tutorial 965,Study,Medium
Update sprint plan 700,Work,Medium
Draft business lead 625,Work,Medium
Plan football with friends 637,Personal,Low
Pay football with friends 133,Personal,Low
Buy football with friends 665,Personal,Low
Visit dancing class 201,Personal,Low
Write university library books 929,Study,Medium
Wash healthy dinner 516,Personal,Medium
Develop server maintenance 803,Work,Medium
Attend wardrobe 353,Personal,Medium
Watch English vocabulary 10,Study,Low
Play Netflix movie 934,Personal,Low
Solve biology chapter 828,Study,Medium
Play healthy dinner 219,Personal,Medium
Read math assignment 700,Study,Medium
Memorize geography project 585,Study,Medium
Organize gym workout 340,Personal,Medium
Write geography project 599,Study,Medium
Research machine learning tutorial 127,Study,Medium
Prepare university library books 943,Study,Medium
Submit machine learning tutorial 95,Study,High
Pay dentist appointment 706,Personal,Medium
Research English vocabulary 552,Study,Medium
Draft quarterly sales data 910,Work,Medium
Research English vocabulary 386,Study,Medium
Present marketing strategy 796,Work,Medium
Exercise wardrobe 766,Personal,Medium
Organize dancing class 293,Personal,Low
Review contract for freelancer 145,Work,Medium
Write psychology notes 143,Study,Medium
Take notes for coding challenge 522,Study,Medium
Watch weekend trip 515,Personal,Low
Take notes for geography project 971,Study,Medium
Memorize machine learning tutorial 386,Study,Medium
Listen to favorite podcast 135,Personal,Low
Research marketing strategy 109,Work,Medium
Call budget sheet 927,Work,Medium
Attend budget sheet 198,Work,Medium
Attend favorite podcast 616,Personal,Low
Call code documentation 243,Work,Medium
Pay dancing class 437,Personal,Low
Water healthy dinner 739,Personal,Medium
Watch dentist appointment 855,Personal,Low
Practice university library books 376,Study,Medium
Water yoga session 772,Personal,Medium
Coordinate contract for freelancer 274,Work,Medium
Research client proposal 912,Work,Medium
Pay dancing class 352,Personal,Low
Organize client proposal 249,Work,Medium
Attend LinkedIn profile 604,Work,Medium
Cook garden plants 202,Personal,Medium
Go to electricity bill 823,Personal,High
Complete budget sheet 838,Work,Medium
Solve English vocabulary 341,Study,Medium
Coordinate bug in production 554,Work,High
Pay football with friends 131,Personal,Low
Research psychology notes 247,Study,Medium
Solve physics numericals 391,Study,Medium
Draft budget sheet 64,Work,Medium
Water dentist appointment 145,Personal,Medium
Watch final exam 342,Study,High
Submit quarterly sales data 746,Work,High
Attend garden plants 485,Personal,Medium
Memorize online course 975,Study,Medium
Water weekly groceries 207,Personal,Medium
Play wardrobe 681,Personal,Medium
Complete bug in production 326,Work,High
Organize wardrobe 866,Personal,Medium
Practice math assignment 342,Study,Medium
Visit yoga session 424,Personal,Medium
Buy yoga session 663,Personal,Medium
Organize favorite podcast 654,Personal,Low
Study math assignment 874,Study,Medium
Attend psychology notes 312,Study,Medium
Fix business lead 596,Work,Medium
Take notes for geography project 735,Study,Medium
Prepare machine learning tutorial 601,Study,Medium
Plan healthy dinner 441,Personal,Medium
Submit contract for freelancer 863,Work,High
Submit server maintenance 239,Work,High
Research project report 680,Work,Medium
Analyze server maintenance 320,Work,Medium
Memorize final exam 573,Study,High
Attend bug in production 764,Work,High
Fix quarterly sales data 512,Work,Medium
Exercise electricity bill 672,Personal,High
Pay living room 887,Personal,Medium
Draft sprint plan 269,Work,Medium
Solve coding challenge 187,Study,Medium
Cook gym workout 169,Personal,Medium
Submit final exam 513,Study,High
Complete English vocabulary 886,Study,Medium
Update office workstation 866,Work,Medium
Study geography project 132,Study,Medium
Read machine learning tutorial 652,Study,Medium
Exercise favorite podcast 258,Personal,Low
Prepare coding challenge 334,Study,Medium
Analyze team meeting 819,Work,High
Attend biology chapter 140,Study,Medium
Attend quarterly sales data 901,Work,Medium
Visit football with friends 745,Personal,Low
Pay Netflix movie 437,Personal,Low
Buy dancing class 722,Personal,Low
Write machine learning tutorial 646,Study,Medium
Play electricity bill 499,Personal,High
Write biology chapter 737,Study,Medium
Read university library books 728,Study,Medium
